ristorante,cliente,data,recensione,stelle
romantico,GHRMMO04s57L682W,2025-07-09,buono,4,
romantico,GHRMMO04s57L682W,2025-07-09,buono,3,
il guazzetto,GHRMMO04s57L682W,2025-07-09,5,5,
romantico,GHRMMO04s57L682W,2025-07-09,buono,3,
il guazzetto,GHRMMO04s57L682W,2025-07-09,buono,4,
romantico,GHRMMO04s57L682W,2025-07-09,buono,4,
romantico,GHRMMO04s57L682W,2025-07-09,buono,3,
antica taverna milano,GHRMMO04s57L682W,2025-07-09,buonissimo,4,
romantico,GHRMMO04s57L682W,2025-07-09,ha una bel giardino,3,
atosushi,GHRMMO04s57L682W,2025-07-09,buono,5,
romantico,GHRMMO04s57L682W,2025-07-09,buono,2,
il guazzetto,GHRMMO04s57L682W,2025-07-09,buono,3,
poke,GHRMMO04s57L682W,2025-07-09,buonissimo,4,
